ID;DISTRITO;B/M/P;DIRECCIÓN;ESTADO;LATITUD;LONGITUD
1;BEIRO;B;ACERA DE SAN ILDEFONSO;;37,1841371;-3,6003952
2;RONDA;B;AGUSTINA DE ARAGÓN;;;
3;BEIRO;B;ALONDRA (I) (Halcón);;;
4;BEIRO;B;ALONDRA (II) (Automovilismo);;;
5;ZAIDÍN;B;AMÉRICAS (PL);;37,1626161;-3,6019878
6;ZAIDÍN;B;ANTONIO DALMASES (I);;37,1644521;-3,5990642
7;ZAIDÍN;B;ANTONIO DALMASES (II);;;
8;BEIRO;B;ARETUSA;;37,1952461;-3,6177022
9;ZAIDÍN;B;ARQUITECTO TORRES BALBAS;;37,1598651;-3,5950972
10;NORTE;B;ARQUITECTO JOSÉ CONTRERAS (I);;;
11;NORTE;B;ARQUITECTO JOSÉ CONTRERAS (II);;;
12;CHANA;B;P-18 (ASOCIACIÓN DE PRENSA);;37,1983761;-3,6296232
13;ZAIDÍN;B;PARQUE FÉLIX RÓDRIGUEZ;;;
14;GENIL;B;BASILIOS;;;
15;CENTRO;B;CAMINO DEL AVELLANO;;37,1802571;-3,5814792
16;CENTRO;B;CAMPO DEL PRÍNCIPE;;;
17;CENTRO;B;CARLOS CANO;;;
18;ALBAYZÍN;B;CÁRMENES DE SAN MIGUEL (I);;;
19;ALBAYZÍN;B;CÁRMENES DE SAN MIGUEL (II);;;
20;GENIL;M;INMACULADA NIÑA;;37,1591561;-3,5894782
21;BEIRO;B;CERAMISTA AGUSTÍN MORALES (I);;;
22;BEIRO;B;CERAMISTA AGUSTÍN MORALES (II);;;
23;CHANA;B;CIRCUNVALACIÓN CHANA (I);;;
24;CHANA;B;CIRCUNVALACIÓN CHANA (II);;;
25;CHANA;B;CONCHA PIQUER;;37,1909311;-3,6311432
26;ZAIDÍN;B;CRUZ DE LAGOS (I);;;
27;ZAIDÍN;B;CRUZ DE LAGOS (II);;;
28;ZAIDÍN;B;CARRETERA LA ZUBIA (Frente Telefónica);;;
29;CENTRO;B;CUARTO REAL DE SANTO DOMINGO (I);;;
30;CENTRO;B;CUARTO REAL DE SANTO DOMINGO (II);;;
31;CENTRO;B;CUARTO REAL DE SANTO DOMINGO (III);;;
32;CENTRO;B;CUARTO REAL DE SANTO DOMINGO (IV);;;
33;GENIL;B;CUESTA DEL PINO;;37,164673;-3,5764949
34;RONDA;B;DEMETRIO ESPÍNOLA;;37,1849011;-3,6178502
35;BEIRO;B;DR. LOPEZ NEIRA (Dani Plaza de Toros);;37,1901401;-3,6086612
36;NORTE;B;DR. AGUSTÍN LABORDE (Ctra. De Alfacar);;;
37;ALBAYZÍN;B;EL FARGUE;;;
38;BEIRO;B;AVENIDA GARCÍA LORCA (I);;37,1979161;-3,6163662
39;BEIRO;B;AVENIDA GARCÍA LORCA (II);;37,1989601;-3,6174342
40;CHANA;B;FRANCISCO AYALA (Esq. Rejón);;37,1947341;-3,6192692
41;ZAIDÍN;B;FEDERICO MAYO;;;
42;RONDA;B;FERNÁNDEZ PIÑAR (I) (Santa Clotilde);;;
43;RONDA;B;FERNÁNDEZ PIÑAR (II) (Camino de Ronda);;;
44;RONDA;B;FERNÁNDEZ PIÑAR (III) (Julio Verne);;;
45;ZAIDÍN;B;FONTIVEROS;;;
46;CENTRO;B;CUESTA DE LA PITA;;;
47;GENIL;B;FUENTE DE LA BICHA (I);;;
48;GENIL;B;FUENTE DE LA BICHA (II);;;
49;GENIL;B;GARCÍA ARRABAL (I);;;
50;GENIL;B;GARCÍA ARRABAL (II);;;
51;GENIL;B;GARCÍA ARRABAL (III);;;
52;GENIL;B;GARCÍA ARRABAL (IV);;;
53;BEIRO;B;HALCÓN;;;
54;CHANA;B;PLAZA DEL TABACO (Bobadilla);;;
55;RONDA;B;HUERTA DEL RASILLO;;;
56;ALBAYZÍN;B;HAZA GRANDE (Jardín Infantil);;;
57;BEIRO;B;JARDINES DEL TRIUNFO (I);;37,183631;-3,602234
58;CHANA;B;SEMILLEROS (Polid. Barriada Bobadilla);;;
59;RONDA;B;JARDINES DEL VIOLÓN (I) (Parada Taxis);;;
60;RONDA;B;JARDINES DEL VIOLÓN (II) (Río);;;
61;BEIRO;B;CALICASAS;;;
62;NORTE;B;JOAQUINA EGÜARAS (I);;37,211192;-3,614169
63;NORTE;B;JOAQUINA EGÜARAS (II) (Parque infantil);;37,210279;-3,613906
64;BEIRO;B;JOAQUINA EGÜARAS (III) (Descampado);;;
65;BEIRO;B;JOAQUINA EGÜARAS (IV) (Detrás Alcampo);;37,199978;-3,608382
66;GENIL;B;MAESTRA PILAR GÓMEZ;;;
67;ZAIDÍN;B;MANUEL BENÍTEZ CARRASCO;;;
68;GENIL;B;GUARNÓN;;;
69;GENIL;B;MERCEDES GAIBROIS;;;
70;CHANA;B;MIGUEL HERNÁNDEZ;;;
71;GENIL;B;MORAL (Plaza - Lancha del Genil);;;
72;CHANA;B;MOREDA (Villa Pineda);;;
73;CENTRO;M;PLAZA NUEVA;;37,176635;-3,596318
